DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,963,12265,2735,16625
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,1077,12335,2280,15685
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",43,Specialised construction activities,1170,12750,2355,15950
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,696,13375,2180,15850
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,720,13150,3060,16425
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,728,15975,3530,19575
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,777,14975,2330,18700
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,726,15725,3120,19625
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,622,14100,2355,17375
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,671,14550,2760,17950
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",45,Motor trades,749,15650,1975,18750
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,1967,26565,4500,31115
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,1687,27515,4060,32410
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,1918,27020,4220,31250
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,2158,25400,4520,29775
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,2039,27000,4215,31610
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,1908,26240,3935,31000
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,1884,25620,4560,30865
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",46,Wholesale trade,2155,26960,3575,31510
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1669,22910,32335,57820
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1632,27195,32655,61425
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1729,23695,32870,58915
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1569,25585,31325,58400
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1550,22495,31765,56690
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1734,25175,31965,58585
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1929,21815,32515,54715
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",47,Retail trade,1938,20660,30765,52400
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,425,11440,985,13295
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,405,11300,2060,13850
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,422,10495,2095,12345
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,452,8475,1340,10375
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,434,9275,4780,14655
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,367,7925,5830,13530
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,410,13335,2015,16215
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",49,Land transport,464,11245,3730,15205
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,43,305,15,310
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,36,430,55,470
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,28,335,10,335
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,26,330,115,485
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,31,190,10,260
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,32,95,25,120
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,24,115,40,170
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",50-51,Water and air transport,29,165,10,180
2015,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,497,11420,1505,13945
2016,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,482,17815,5020,22135
2017,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,531,18760,4995,23785
2018,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,472,12090,1790,14440
2019,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,526,14015,5045,19385
2020,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,433,13695,1905,15265
2021,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,432,13125,1575,15640
2022,TLG1,"Herefordshire, Worcestershire and Warwickshire",52,Warehousing and transport support activities,501,18555,2725,21285
