DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",B (5-9),Mining and quarrying,274,2330,100,2330
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,6693,94580,9070,105270
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,6630,93920,12525,107210
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,6940,99925,11195,112635
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,7296,91400,9625,103320
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,7573,94320,11565,106350
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,6945,84930,10820,96280
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,7539,90165,9480,100670
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",C (10-33),Manufacturing,8153,86200,10065,96425
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",1590,8775,810,9075
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",1424,7360,675,8135
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",1397,9210,860,9715
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",1232,6945,885,7695
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",1249,5750,840,6750
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",1149,5360,545,5860
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",735,5185,635,5935
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",D (35),"Electricity, gas, steam and air conditioning supply",762,5100,725,5650
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,410,4280,230,4330
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,453,3950,315,4250
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,468,4570,360,5115
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,464,4530,305,4830
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,441,4235,190,4590
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,360,3850,265,3955
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,440,4420,440,4625
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",E (36-39),Water supply; sewerage and waste management,451,3915,480,4165
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,2924,33365,4625,40940
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,2935,32975,4645,38595
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3117,27985,5955,36895
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3432,28155,6200,38940
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3661,32455,5180,38345
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,2852,30070,5205,37580
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,3523,30300,5900,38630
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",F (41-43),Construction,4210,37370,7200,47930
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,5216,82465,53270,141350
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,5269,91370,51700,145855
2017,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,5441,86270,49575,137875
2018,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,5472,92245,50630,147535
2019,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,5480,92580,51670,150030
2020,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,5236,87690,51520,146700
2021,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,6147,91450,54735,152525
2022,TLF2,"Leicestershire, Rutland and Northamptonshire",G (45-47),Wholesale and retail trade; repair of motor vehicles,6470,90210,51225,143585
2015,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,2120,47255,7385,54715
2016,TLF2,"Leicestershire, Rutland and Northamptonshire",H (49-53),Transportation and storage,2166,51720,6935,59345
