DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME
2017,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",214,1925,455
2018,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",121,2410,475
2019,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",106,2655,545
2020,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",96,2615,590
2021,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",86,3725,670
2022,TLC11,Hartlepool and Stockton-on-Tees,49-51,"Land, water and air transport",109,3350,215
2015,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,83,1550,340
2016,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,74,1270,130
2017,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,76,1355,330
2018,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,51,1620,345
2019,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,49,1450,300
2020,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,74,1190,235
2021,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,62,990,320
2022,TLC11,Hartlepool and Stockton-on-Tees,52,Warehousing and transport support activities,62,1465,385
2015,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,58,435,580
2016,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,52,485,200
2017,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,45,400,200
2018,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,37,455,200
2019,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,45,480,225
2020,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,44,430,200
2021,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,47,430,100
2022,TLC11,Hartlepool and Stockton-on-Tees,53,Postal and courier activities,44,505,130
2015,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,16,425,1050
2016,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,19,320,420
2017,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,22,430,420
2018,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,17,415,370
2019,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,18,310,310
2020,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,5,285,350
2021,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,22,215,385
2022,TLC11,Hartlepool and Stockton-on-Tees,55,Accommodation,26,315,375
2015,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,130,2130,9900
2016,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,128,2375,4325
2017,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,130,2545,5000
2018,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,122,1860,4025
2019,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,137,1800,4800
2020,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,85,2075,5200
2021,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,124,2900,5825
2022,TLC11,Hartlepool and Stockton-on-Tees,56,Food and beverage service activities,143,2875,5250
2015,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,6,125,80
2016,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,6,50,45
2017,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,6,0,35
2018,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,5,5,40
2019,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,5,215,65
2020,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,2,30,70
2021,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,4,70,75
2022,TLC11,Hartlepool and Stockton-on-Tees,58-60,Publishing; film and TV production and broadcasting,3,140,30
2015,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,29,1635,370
2016,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,61,1000,210
2017,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,68,2415,225
2018,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,81,2175,445
2019,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,111,2160,285
2020,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,183,2475,535
2021,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,224,2835,425
2022,TLC11,Hartlepool and Stockton-on-Tees,61-63,Telecommunications; information technology,226,2480,265
2015,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,331,1685,930
2016,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,370,1370,385
2017,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,467,1380,390
2018,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,427,1740,475
2019,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,455,1655,490
2020,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,333,1370,440
2021,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,347,1280,415
2022,TLC11,Hartlepool and Stockton-on-Tees,64,Financial service activities,413,540,270
2015,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",123,305,190
2016,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",113,290,80
2017,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",138,340,155
2018,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",129,360,120
2019,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",25,605,100
2020,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",32,465,175
2021,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",28,415,185
2022,TLC11,Hartlepool and Stockton-on-Tees,65-66,"Insurance, pension funding and auxiliary financial activities",28,320,165
2015,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",321,1070,930
2016,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",317,1525,330
2017,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",269,1360,270
2018,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",163,1045,435
2019,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",189,1140,405
2020,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",193,660,305
2021,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",157,820,415
2022,TLC11,Hartlepool and Stockton-on-Tees,68,"Real estate activities, excluding imputed rental",153,800,320
2015,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,63,1345,590
2016,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,113,1245,470
2017,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,129,1055,260
2018,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,92,710,185
2019,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,95,1095,525
2020,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,80,910,220
2021,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,113,1030,555
2022,TLC11,Hartlepool and Stockton-on-Tees,69,Legal and accounting activities,119,1445,420
2015,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,49,1330,330
2016,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,41,605,225
2017,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,41,855,195
2018,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,41,1165,200
2019,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,50,1115,205
2020,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,53,1145,220
2021,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,50,1690,420
2022,TLC11,Hartlepool and Stockton-on-Tees,70,Head offices and management consultancy,87,1020,255
2015,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,143,5990,1150
2016,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,107,3785,570
2017,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,111,2805,785
2018,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,99,2600,260
2019,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,93,4005,425
2020,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,62,2250,775
2021,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,59,3335,540
2022,TLC11,Hartlepool and Stockton-on-Tees,71,Architectural and engineering activities,51,2275,305
2015,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,243,1200,270
2016,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,267,1055,105
2017,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,207,685,1565
2018,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,271,680,100
2019,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,289,605,65
2020,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,396,345,165
2021,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,432,1160,225
2022,TLC11,Hartlepool and Stockton-on-Tees,72-73,Research and development; advertising and market research,338,1050,170
2015,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",20,310,40
2016,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",23,660,45
2017,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",22,360,80
2018,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",17,290,35
2019,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",17,355,50
2020,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",15,380,105
2021,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",32,510,0
2022,TLC11,Hartlepool and Stockton-on-Tees,74,"Other professional, scientific and technical activities",29,470,105
2015,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,5,50,60
2016,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,4,75,25
2017,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,5,50,25
2018,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,5,75,40
2019,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,7,75,40
2020,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,7,100,75
2021,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,8,100,75
2022,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,9,75,50
2015,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,76,385,270
2016,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,68,945,120
2017,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,93,415,30
2018,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,83,555,300
2019,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,78,750,160
2020,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,99,585,150
2021,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,79,535,90
2022,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,100,850,60
2015,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,116,1915,2400
2016,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,118,1685,660
2017,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,117,2785,835
2018,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,120,3105,1100
2019,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,140,3355,2060
2020,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,161,3220,1280
2021,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,139,2435,1050
2022,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,89,2380,905
2015,TLC11,Hartlepool and Stockton-on-Tees,81,Services to buildings and landscape activities,20,660,2460
2016,TLC11,Hartlepool and Stockton-on-Tees,81,Services to buildings and landscape activities,22,1230,610
2017,TLC11,Hartlepool and Stockton-on-Tees,81,Services to buildings and landscape activities,20,1045,770
