DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2016,TLD6,Cheshire,G-T,Services sector,17838,269740,153475,429530
2017,TLD6,Cheshire,G-T,Services sector,19306,269380,150075,427630
2018,TLD6,Cheshire,G-T,Services sector,19907,267885,145745,424370
2019,TLD6,Cheshire,G-T,Services sector,21246,281840,146055,439795
2020,TLD6,Cheshire,G-T,Services sector,20215,276005,145400,435755
2021,TLD6,Cheshire,G-T,Services sector,22099,285565,146870,438800
2022,TLD6,Cheshire,G-T,Services sector,24056,278180,142655,430420
2015,TLD7,Merseyside,A-E,Production sector,4591,48420,3395,53505
2016,TLD7,Merseyside,A-E,Production sector,4577,50390,4975,56345
2017,TLD7,Merseyside,A-E,Production sector,4821,52560,6600,60345
2018,TLD7,Merseyside,A-E,Production sector,4693,51280,3825,55930
2019,TLD7,Merseyside,A-E,Production sector,4845,51675,4130,57345
2020,TLD7,Merseyside,A-E,Production sector,4591,49020,5105,55035
2021,TLD7,Merseyside,A-E,Production sector,4778,47465,3520,52185
2022,TLD7,Merseyside,A-E,Production sector,4994,48210,4685,54815
2015,TLD7,Merseyside,F (41-43),Construction,1647,22095,1540,23925
2016,TLD7,Merseyside,F (41-43),Construction,1748,18855,2780,22185
2017,TLD7,Merseyside,F (41-43),Construction,1928,22935,3355,26830
2018,TLD7,Merseyside,F (41-43),Construction,1932,21145,3880,25710
2019,TLD7,Merseyside,F (41-43),Construction,1959,20775,3965,26165
2020,TLD7,Merseyside,F (41-43),Construction,1793,19975,2455,22990
2021,TLD7,Merseyside,F (41-43),Construction,1787,26700,4770,32985
2022,TLD7,Merseyside,F (41-43),Construction,2112,28235,4150,32775
2015,TLD7,Merseyside,G-T,Services sector,21536,326765,202515,541355
2016,TLD7,Merseyside,G-T,Services sector,21876,332680,207110,554415
2017,TLD7,Merseyside,G-T,Services sector,22530,332900,209035,552565
2018,TLD7,Merseyside,G-T,Services sector,22882,339475,213045,567965
2019,TLD7,Merseyside,G-T,Services sector,24558,356975,217535,585995
2020,TLD7,Merseyside,G-T,Services sector,24048,343610,215495,575120
2021,TLD7,Merseyside,G-T,Services sector,27023,366595,221870,601815
2022,TLD7,Merseyside,G-T,Services sector,29255,365860,217275,595025
2015,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,5684,65170,5515,75485
2016,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,5789,63185,6035,74340
2017,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,6053,68475,6500,80320
2018,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,6128,71365,5840,82400
2019,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,6918,67755,6545,78965
2020,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,6447,68945,6700,80610
2021,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,8063,74185,7095,85830
2022,TLE1,East Yorkshire and Northern Lincolnshire,A-E,Production sector,9346,77040,7165,88875
2015,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1164,17645,2190,20115
2016,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1100,17180,2730,21705
2017,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1196,18300,2470,21100
2018,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1259,15990,1900,18910
2019,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1278,20475,2535,24385
2020,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1163,18960,3600,23735
2021,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1486,18775,2870,22400
2022,TLE1,East Yorkshire and Northern Lincolnshire,F (41-43),Construction,1794,19000,2160,23875
2015,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,10145,172125,116220,296205
2016,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,10309,175450,120180,303285
2017,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,10773,174955,121100,308345
2018,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,10986,175065,120765,305865
2019,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,11467,170985,119920,302165
2020,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,10639,169710,112885,287295
2021,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,12517,170540,123895,302555
2022,TLE1,East Yorkshire and Northern Lincolnshire,G-T,Services sector,13631,174985,115815,298850
2015,TLE2,North Yorkshire,A-E,Production sector,3423,41105,4730,58610
2016,TLE2,North Yorkshire,A-E,Production sector,3390,40215,5585,58450
2017,TLE2,North Yorkshire,A-E,Production sector,3558,40215,6475,58540
2018,TLE2,North Yorkshire,A-E,Production sector,3645,42165,5285,61350
2019,TLE2,North Yorkshire,A-E,Production sector,3801,41170,5075,59480
2020,TLE2,North Yorkshire,A-E,Production sector,3884,43275,6285,62825
2021,TLE2,North Yorkshire,A-E,Production sector,4093,43360,6075,62765
2022,TLE2,North Yorkshire,A-E,Production sector,4492,43845,5895,64025
2015,TLE2,North Yorkshire,F (41-43),Construction,1059,14480,1695,16700
2016,TLE2,North Yorkshire,F (41-43),Construction,1088,15015,2385,19820
2017,TLE2,North Yorkshire,F (41-43),Construction,1110,15980,2155,19700
2018,TLE2,North Yorkshire,F (41-43),Construction,1143,13530,1695,17010
2019,TLE2,North Yorkshire,F (41-43),Construction,1214,17815,2430,22270
2020,TLE2,North Yorkshire,F (41-43),Construction,929,15085,3380,19965
2021,TLE2,North Yorkshire,F (41-43),Construction,1221,15065,2695,18900
2022,TLE2,North Yorkshire,F (41-43),Construction,1356,14805,1645,19590
2015,TLE2,North Yorkshire,G-T,Services sector,12250,179995,132915,323085
2016,TLE2,North Yorkshire,G-T,Services sector,12739,183245,129945,325145
2017,TLE2,North Yorkshire,G-T,Services sector,13781,185285,132700,331270
2018,TLE2,North Yorkshire,G-T,Services sector,13719,182225,134185,326985
2019,TLE2,North Yorkshire,G-T,Services sector,14138,175120,133655,328475
2020,TLE2,North Yorkshire,G-T,Services sector,13235,176095,121260,316225
2021,TLE2,North Yorkshire,G-T,Services sector,15542,183340,129620,327475
