DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME
2018,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,5,75,40
2019,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,7,75,40
2020,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,8,100,75
2021,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,9,100,75
2022,TLC11,Hartlepool and Stockton-on-Tees,75,Veterinary activities,10,75,50
2015,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,64,385,270
2016,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,60,945,120
2017,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,82,415,30
2018,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,79,555,300
2019,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,78,750,160
2020,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,102,585,150
2021,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,91,535,90
2022,TLC11,Hartlepool and Stockton-on-Tees,77,Rental and leasing activities,130,850,60
2015,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,109,1915,2400
2016,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,112,1685,660
2017,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,110,2785,835
2018,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,117,3105,1100
2019,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,140,3355,2060
2020,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,163,3220,1280
2021,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,143,2435,1050
2022,TLC11,Hartlepool and Stockton-on-Tees,78-80,Employment activities; tourism and security services,98,2380,905
2015,TLC11,Hartlepool and Stockton-on-Tees,81,Services to buildings and landscape activities,19,660,2460
