DATE,ITL_code,GEOGRAPHY_NAME,SIC_CODE,SIC07_description,gva,JOBCOUNT_FULLTIME,JOBCOUNT_PARTTIME,JOBCOUNT_ALLINEMPLOYMENT
2018,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,108,2000,2945,5140
2019,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,107,1930,2840,5145
2020,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,72,1870,2085,4340
2021,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,89,1770,2955,4835
2022,TLM73,East Lothian and Midlothian,I (55-56),Accommodation and food service activities,106,2280,2930,5350
2015,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,50,690,170,845
2016,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,44,1070,210,1305
2017,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,47,725,160,955
2018,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,44,1010,200,1290
2019,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,45,1180,305,1560
2020,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,45,1110,200,1285
2021,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,36,905,145,1115
2022,TLM73,East Lothian and Midlothian,J (58-63),Information and communication,42,830,140,1030
2015,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,6,440,350,600
2016,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,7,370,145,520
2017,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,5,415,125,570
2018,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,7,525,135,650
2019,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,6,405,185,555
2020,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,3,360,145,460
2021,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,4,310,105,410
2022,TLM73,East Lothian and Midlothian,K (64-66),Financial and insurance activities,4,490,100,585
2015,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",58,385,690,855
2016,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",66,480,150,765
2017,TLM73,East Lothian and Midlothian,L (68),"Real estate activities, excluding imputed rental",64,355,165,560
