DATE,GEOGRAPHY_CODE_ITL321,SIC_2DIGIT_CODE_GVA2023,JOBCOUNT,GVA,Region_name,SIC07_description
2015,TLC22,43,9425,565,Tyneside,Specialised construction activities
2015,TLC22,45,5545,303,Tyneside,Motor trades
2015,TLC22,46,9015,447,Tyneside,Wholesale trade
2015,TLC22,47,14405,1084,Tyneside,Retail trade
2015,TLC22,49-51,6870,386,Tyneside,"Land, water and air transport"
2015,TLC22,52,3210,215,Tyneside,Warehousing and transport support activities
2015,TLC22,53,2310,132,Tyneside,Postal and courier activities
2015,TLC22,55,2620,126,Tyneside,Accommodation
2015,TLC22,56,7700,422,Tyneside,Food and beverage service activities
2015,TLC22,58-60,2610,120,Tyneside,Publishing; film and TV production and broadcasting
2015,TLC22,61-63,14485,1323,Tyneside,Telecommunications; information technology
2015,TLC22,68,4995,661,Tyneside,"Real estate activities, excluding imputed rental"
2015,TLC22,69,6305,445,Tyneside,Legal and accounting activities
2015,TLC22,70,4500,110,Tyneside,Head offices and management consultancy
2015,TLC22,71,9325,165,Tyneside,Architectural and engineering activities
2015,TLC22,72-73,2450,263,Tyneside,Research and development; advertising and market research
2015,TLC22,74-75,1375,73,Tyneside,"Other professional, scientific and technical activities"
2015,TLC22,77,1025,136,Tyneside,Rental and leasing activities
2015,TLC22,78-80,10620,444,Tyneside,Employment activities; tourism and security services
2015,TLC22,81,6940,128,Tyneside,Services to buildings and landscape activities
2015,TLC22,82,7555,231,Tyneside,Office administration and business support activities
2015,TLC22,86,25200,1540,Tyneside,Human health activities
2015,TLC22,87,5350,217,Tyneside,Residential care activities
2015,TLC22,88,6750,309,Tyneside,Social work activities
2015,TLC22,90-91,1630,65,Tyneside,"Creative, arts, entertainment and cultural activities"
2015,TLC22,92-93,2470,308,Tyneside,Gambling and betting; sports and recreation activities
2015,TLC22,94,2905,158,Tyneside,Activities of membership organisations
2015,TLC22,95,570,17,Tyneside,"Repair of computers, personal and household goods"
2015,TLC22,96,1675,178,Tyneside,Other personal service activities
2015,TLC22,AB (1-9),150,24,Tyneside,"Agriculture, forestry and fishing; mining and quarrying"
