ITL321CD,year,SIC07_code,value,Region_name,SIC07_description
TLL14,2017,CK-CL (28-30),126,South West Wales,Manufacture of machinery and transport equipment
TLL14,2017,DE (35-39),322,South West Wales,"Electricity, gas, water; sewerage and waste management"
TLL14,2017,K (64-66),29,South West Wales,Financial and insurance activities
TLL14,2017,O (84),368,South West Wales,Public administration and defence
TLL14,2017,P (85),311,South West Wales,Education
TLL14,2017,T (97-98),21,South West Wales,Activities of households
TLL14,2018,31-32,11,South West Wales,Manufacture of furniture; other manufacturing
TLL14,2018,33,13,South West Wales,Repair and installation of machinery and equipment
TLL14,2018,41,110,South West Wales,Construction of buildings
TLL14,2018,42,62,South West Wales,Civil engineering
TLL14,2018,43,160,South West Wales,Specialised construction activities
TLL14,2018,45,77,South West Wales,Motor trades
TLL14,2018,46,289,South West Wales,Wholesale trade
TLL14,2018,47,373,South West Wales,Retail trade
TLL14,2018,49-51,115,South West Wales,"Land, water and air transport"
TLL14,2018,52,13,South West Wales,Warehousing and transport support activities
TLL14,2018,53,24,South West Wales,Postal and courier activities
TLL14,2018,55,112,South West Wales,Accommodation
TLL14,2018,56,146,South West Wales,Food and beverage service activities
TLL14,2018,58-60,35,South West Wales,Publishing; film and TV production and broadcasting
TLL14,2018,61-63,52,South West Wales,Telecommunications; information technology
TLL14,2018,68,73,South West Wales,"Real estate activities, excluding imputed rental"
TLL14,2018,68IMP,619,South West Wales,Owner-occupiers' imputed rental
TLL14,2018,69,49,South West Wales,Legal and accounting activities
TLL14,2018,70,9,South West Wales,Head offices and management consultancy
TLL14,2018,71,21,South West Wales,Architectural and engineering activities
TLL14,2018,72-73,24,South West Wales,Research and development; advertising and market research
TLL14,2018,74-75,34,South West Wales,"Other professional, scientific and technical activities"
TLL14,2018,77,27,South West Wales,Rental and leasing activities
TLL14,2018,78-80,43,South West Wales,Employment activities; tourism and security services
TLL14,2018,81,19,South West Wales,Services to buildings and landscape activities
TLL14,2018,82,22,South West Wales,Office administration and business support activities
TLL14,2018,86,460,South West Wales,Human health activities
TLL14,2018,87,92,South West Wales,Residential care activities
TLL14,2018,88,90,South West Wales,Social work activities
TLL14,2018,90-91,18,South West Wales,"Creative, arts, entertainment and cultural activities"
TLL14,2018,92-93,46,South West Wales,Gambling and betting; sports and recreation activities
TLL14,2018,94,11,South West Wales,Activities of membership organisations
TLL14,2018,95,4,South West Wales,"Repair of computers, personal and household goods"
TLL14,2018,96,86,South West Wales,Other personal service activities
TLL14,2018,AB (1-9),284,South West Wales,"Agriculture, forestry and fishing; mining and quarrying"
TLL14,2018,CA (10-12),178,South West Wales,"Manufacture of food, beverages and tobacco"
TLL14,2018,CB (13-15),13,South West Wales,"Manufacture of textiles, wearing apparel and leather"
TLL14,2018,CC (16-18),17,South West Wales,Manufacture of wood and paper products and printing
TLL14,2018,CD-CG (19-23),405,South West Wales,"Manufacture of petroleum, chemicals and other minerals"
TLL14,2018,CH (24-25),113,South West Wales,Manufacture of basic and fabricated metal products
TLL14,2018,CI-CJ (26-27),15,South West Wales,"Manufacture of electronic, optical and electrical products"
TLL14,2018,CK-CL (28-30),126,South West Wales,Manufacture of machinery and transport equipment
