ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLH5,Norfolk,A-E,Production sector,2333,2245,2364,2306,2413,2426,2273,2246,2342,2387,2640,2629,2619,2779,2907,3037,3161,3044,2957,2994,2945,3055,3062,3202,3811,4230
TLH5,Norfolk,F (41-43),Construction,547,621,675,718,795,877,918,964,1093,1100,1100,1008,992,1056,1028,1059,1164,1215,1299,1341,1335,1425,1343,1380,1636,1878
TLH5,Norfolk,G-T,Services sector,6113,6450,6858,7323,7671,8182,8654,9172,9852,10230,10604,10895,11039,11048,11667,12192,12502,12844,13230,14006,13857,15338,14718,15948,16748,18454
TLH6,Suffolk,A-E,Production sector,2348,2244,2329,2284,2351,2358,2253,2252,2420,2484,2691,2681,2655,2729,2894,2974,3111,3159,3100,3285,3215,3367,3227,3068,3405,4068
TLH6,Suffolk,F (41-43),Construction,518,587,634,683,764,816,862,916,1028,1032,1022,912,899,952,953,1011,1094,1230,1324,1405,1623,1748,1732,1711,1924,2232
TLH6,Suffolk,G-T,Services sector,6401,6853,7257,7656,7980,8453,8962,9586,10175,10430,10599,10428,10621,10824,11211,11739,12091,12367,13020,13394,13554,14289,13452,14577,15708,16678
TLI3,Inner London - West,A-E,Production sector,1886,1954,2057,1977,2054,1905,2039,1948,2165,2392,2360,2540,2169,1975,1863,1986,2112,2394,2343,2633,2870,3391,3854,3689,5017,5834
TLI3,Inner London - West,F (41-43),Construction,1284,1481,1914,2032,1846,1961,1922,1932,2173,2618,3355,2744,2703,2902,3324,3994,4199,4445,4435,4473,4671,4887,3928,3921,4967,5770
TLI3,Inner London - West,G-T,Services sector,67460,70193,76380,79232,82873,88475,93711,103763,110061,121236,123723,125409,131975,136758,142488,150838,162141,167123,182795,191378,200835,208409,198973,219992,244304,266600
TLI4,Inner London - East,A-E,Production sector,2499,2555,2620,2473,2508,2335,2380,2334,2419,2582,2580,2782,2641,2690,2823,2884,2670,2613,2517,2689,2756,2855,3013,3026,3248,4153
TLI4,Inner London - East,F (41-43),Construction,1235,1388,1723,1798,1696,1783,1839,1932,2192,2552,2808,2539,2782,2945,3015,3235,3399,3799,3790,4230,4639,4582,3148,3244,4044,4369
TLI4,Inner London - East,G-T,Services sector,35984,37719,41367,43322,45183,48185,51163,56319,59443,65511,68861,69603,73011,78374,79881,82861,88256,91772,96688,100904,103732,106314,100021,106638,123036,135106
TLI5,Outer London - East and North East,A-E,Production sector,3133,3170,3125,3033,2874,2746,2751,2747,2973,3025,3132,3115,3215,3205,3449,3713,3667,3389,3179,3218,3224,3267,2735,2815,3007,3288
TLI5,Outer London - East and North East,F (41-43),Construction,1438,1587,1685,1828,1965,2118,2148,2286,2452,2712,2850,2299,2612,2679,2807,3002,3177,3457,3780,3963,4202,4247,3498,4184,4639,4448
TLI5,Outer London - East and North East,G-T,Services sector,14628,15376,16046,16750,17580,18878,19861,21044,22266,23334,23569,22075,22731,22962,24361,25365,26415,27684,28838,28872,29855,30928,27229,29646,33554,36232
TLI6,Outer London - South,A-E,Production sector,1465,1474,1466,1413,1327,1280,1242,1262,1333,1278,1160,1071,1063,980,1001,1033,1018,953,945,1012,1014,1074,1086,958,992,1216
TLI6,Outer London - South,F (41-43),Construction,1128,1245,1331,1423,1501,1597,1628,1738,1865,2089,2182,1760,1860,1943,2081,2089,2251,2267,2360,2658,2694,2764,2255,2274,2690,2624
TLI6,Outer London - South,G-T,Services sector,14962,15849,16570,17176,17860,18998,19953,21092,22123,23447,23612,22515,22561,22571,23609,24185,25657,26055,27251,27231,28077,28782,26137,27388,30293,33283
TLI7,Outer London - West and North West,A-E,Production sector,3134,3359,3449,3442,3403,3178,3081,3156,3327,3228,3230,3462,3461,3384,3495,3657,3564,3454,3409,3565,3870,3990,3783,3771,4028,4831
TLI7,Outer London - West and North West,F (41-43),Construction,1725,1916,2052,2207,2354,2518,2564,2722,2916,3246,3465,2880,3062,3184,3434,3689,4102,4589,4895,5236,5750,5683,4741,5175,5921,5361
TLI7,Outer London - West and North West,G-T,Services sector,28859,30667,32352,33328,34380,36258,37600,39477,41907,44234,45044,42450,43308,44504,47349,49985,54307,56615,58602,58973,59608,61085,51348,51743,60031,64026
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",A-E,Production sector,7905,7689,7889,7597,7974,8247,7988,8395,8379,8407,8806,8752,8602,8848,9307,9738,10306,10182,10260,10959,11491,12273,12645,12048,12156,13081
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",F (41-43),Construction,1837,2165,2439,2700,2793,2949,2946,3370,3403,3870,3926,3208,3302,3569,3659,4113,4144,4522,4543,4610,4892,5282,5664,5342,5703,6479
TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",G-T,Services sector,35198,37597,39813,41332,43376,46483,47743,50142,52415,55065,57953,57480,59086,61436,63476,65137,68390,71399,72444,74718,78364,82618,82710,87600,93756,100984
TLJ2,"Surrey, East and West Sussex",A-E,Production sector,5709,6192,6210,5816,6258,6435,6146,6024,6267,6542,6913,6539,6936,7032,7462,7869,8103,8429,8874,9746,10007,10160,9841,9321,9031,9751
