ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
TLK2,Dorset and Somerset,G-T,Services sector,10919,11501,12302,12761,13025,13744,14476,15482,16383,16990,17886,17833,17861,18071,18307,18650,19760,20139,20954,22345,22837,23754,22779,25214,27574
TLK3,Cornwall and Isles of Scilly,A-E,Production sector,993,956,974,988,1097,1178,1165,1170,1186,1207,1346,1323,1288,1358,1412,1497,1639,1612,1613,1833,1814,1819,1813,1894,2058
TLK3,Cornwall and Isles of Scilly,F (41-43),Construction,314,347,389,390,451,482,519,606,620,656,636,564,589,599,623,687,745,838,879,988,991,1020,1032,1050,1240
TLK3,Cornwall and Isles of Scilly,G-T,Services sector,3621,3777,4010,4289,4574,4990,5216,5494,5980,6074,6400,6102,6212,6363,6551,6658,6804,7021,7445,8018,8311,8645,8105,9657,10554
TLK4,Devon,A-E,Production sector,2775,2786,2716,2802,2841,2742,2760,2690,2917,2955,3172,3097,3143,3316,3434,3599,3731,3659,3695,4058,4021,4013,3848,4261,4744
TLK4,Devon,F (41-43),Construction,715,862,903,914,1087,1287,1422,1446,1490,1511,1484,1333,1413,1367,1350,1452,1530,1783,1786,1870,1932,2035,1612,1957,2257
TLK4,Devon,G-T,Services sector,9125,9593,9948,10472,10983,11743,12967,13677,14428,14625,15172,14986,15524,15740,16070,16578,17068,17594,18271,18851,19174,19971,18883,22251,24425
TLL1,West Wales and The Valleys,A-E,Production sector,5115,4887,5134,4859,5107,5306,5436,5320,5387,5643,5799,5548,6033,6264,6422,6942,7229,7632,7548,7796,7584,7980,7376,7214,8061
TLL1,West Wales and The Valleys,F (41-43),Construction,1055,1095,1122,1233,1314,1384,1437,1659,1768,1922,1882,1592,1623,1664,1697,1803,1991,2117,2200,2348,2523,2607,2130,2506,2951
TLL1,West Wales and The Valleys,G-T,Services sector,12233,12502,12976,13732,14363,15361,16711,17631,18648,19020,19472,19407,19733,20391,20905,21599,22078,22390,23447,24269,25406,26609,25407,27103,29396
TLL2,East Wales,A-E,Production sector,3907,3904,4100,3875,3890,4006,4023,4144,4531,4615,4620,4703,4864,5263,5510,5876,5956,6185,6386,6628,7014,7193,6857,6529,7216
