ITL_code,Region_name,SIC07_code,SIC07_description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
TLK4,Devon,F (41-43),Construction,1975,2250,2152,2044,2241,2418,2514,2305,2287,2132,1925,1751,1993,1959,1882,1963,1995,2218,2117,2169,2104,2157,1723,2089,2397,2477
TLK4,Devon,G-T,Services sector,16282,16540,16851,17110,17270,17800,19034,19481,19966,19617,19605,19061,19949,20121,20253,20619,20876,21152,21663,22084,22026,22456,19227,23200,23785,23505
TLK5,West of England,A-E,Production sector,2986,3184,3355,3485,3838,4139,4277,4320,4797,4655,4693,4224,4119,4171,3834,3460,3298,3051,3138,3287,3137,3385,3417,3478,3425,3961
TLK5,West of England,F (41-43),Construction,1940,2040,2067,2384,2354,2231,2135,2056,2035,2000,1816,1540,1725,1802,1810,1893,2098,2236,2252,2452,2261,2329,2108,2532,2585,2417
TLK5,West of England,G-T,Services sector,17554,18078,19187,20279,20427,20804,21292,21600,21499,23032,23713,23395,24684,24555,25819,25977,27432,27914,28893,29547,29596,30335,27696,31395,32781,33626
TLK6,"North Somerset, Somerset and Dorset",A-E,Production sector,5125,5653,5675,5763,6146,6176,6440,6438,6740,6354,6247,5807,5780,5908,5894,5845,6215,6234,6215,6328,6619,6801,7553,7242,6568,6535
TLK6,"North Somerset, Somerset and Dorset",F (41-43),Construction,2501,2795,2832,2778,2816,2920,2796,2781,2558,2412,2328,2057,2246,2325,2274,2408,2469,2623,2627,2818,2741,2600,2347,2691,2839,2932
TLK6,"North Somerset, Somerset and Dorset",G-T,Services sector,23662,24104,25327,25458,24997,25329,25839,26637,27285,27536,27939,27014,27274,27232,27243,27363,28218,28164,28885,30117,30149,30645,26945,29994,31495,31771
TLK7,Gloucestershire and Wiltshire,A-E,Production sector,5631,6140,6325,6784,7264,7833,7648,7950,8531,8901,8803,7914,7797,7468,7530,7767,8209,8455,7964,8075,8314,8662,8185,8148,8597,8721
TLK7,Gloucestershire and Wiltshire,F (41-43),Construction,2441,2595,2604,3077,2947,2727,2635,2520,2489,2474,2221,1896,2133,2242,2240,2355,2477,2652,2421,2530,2376,2409,2004,2616,2458,2515
TLK7,Gloucestershire and Wiltshire,G-T,Services sector,23159,23665,24841,26060,25832,26070,26648,27082,26711,28285,28905,28274,30163,30044,30249,30304,31753,31490,32286,33300,34134,34773,31460,34349,35633,34803
TLL3,North Wales,A-E,Production sector,3028,3113,3308,3461,3591,3777,3866,3910,4263,4193,4100,3932,3924,4259,4128,4308,4228,4246,4506,4708,5011,5175,5241,5252,5112,5349
TLL3,North Wales,F (41-43),Construction,1018,1032,971,1026,1010,988,955,1021,1020,983,899,739,815,832,791,835,859,889,966,992,992,1009,945,1048,1090,1137
TLL3,North Wales,G-T,Services sector,8434,8425,8765,8998,9060,9429,9856,9892,10126,9995,9803,9463,9687,9983,10310,10502,10410,10533,10509,10675,10736,10827,9145,10341,10891,10938
TLL4,Mid and South West Wales,A-E,Production sector,3291,3361,3628,3559,3633,3666,3816,3457,3482,3410,3150,2813,2750,2676,2822,3081,3519,4273,4377,4155,3875,3817,3570,3326,3720,3588
TLL4,Mid and South West Wales,F (41-43),Construction,1240,1221,1147,1178,1150,1106,1083,1120,1152,1146,1060,926,1003,1048,1018,1071,1077,1074,1053,1074,1096,1057,868,995,1050,1073
TLL4,Mid and South West Wales,G-T,Services sector,10954,10870,11187,11547,11609,11981,12565,12766,13091,13110,12966,12639,12866,13074,13226,13295,13410,13434,13964,14265,14872,15129,13146,14211,14710,14646
TLL5,South East Wales,A-E,Production sector,4330,4678,5092,5153,5373,5671,5599,5727,6318,6317,6152,6072,6142,6350,6546,6788,7049,7223,7018,7039,7315,7404,7607,6909,6777,6747
TLL5,South East Wales,F (41-43),Construction,2681,2730,2576,2730,2691,2614,2541,2676,2685,2537,2375,1993,2194,2302,2140,2132,2266,2376,2378,2421,2465,2471,2245,2360,2539,2554
TLL5,South East Wales,G-T,Services sector,19110,19578,20507,21070,21451,22327,23052,23408,23806,24718,24043,23579,23941,24533,25067,25052,25188,25458,26669,27448,28192,28887,25697,28038,29088,28910
TLM0,Eastern Scotland,A-E,Production sector,4006,4169,4186,4385,4492,4752,4824,4826,5410,5331,5292,4983,4798,4576,4640,4806,4752,5020,5235,5282,5293,5424,5370,5503,5485,5026
TLM0,Eastern Scotland,F (41-43),Construction,1184,1314,1232,1212,1263,1195,1297,1241,1323,1319,1154,930,961,1001,1068,1206,1349,1314,1316,1516,1411,1292,1028,1205,1219,1147
TLM0,Eastern Scotland,G-T,Services sector,11412,11445,12120,12433,12615,13058,13251,13645,13888,14243,14265,14268,14530,14905,15131,15497,15956,16002,16003,16250,16031,16539,14268,15750,16319,16627
TLM1,East Central Scotland,A-E,Production sector,2714,2760,2960,3131,3227,3284,3468,3567,4112,3877,4067,3804,3584,3203,3082,3229,3469,3810,4121,3862,3892,4035,4223,4549,4330,4077
TLM1,East Central Scotland,F (41-43),Construction,2317,2572,2411,2374,2478,2343,2544,2438,2602,2593,2274,1827,1889,1973,1963,2115,1987,1969,1871,1936,1902,1834,1525,1908,2235,2384
TLM1,East Central Scotland,G-T,Services sector,21005,21075,22639,23520,24481,25768,26478,27577,27073,29484,29426,29168,29947,29777,30798,30580,31213,31764,33372,35461,36431,37045,32272,35516,37993,38902
TLM2,Highlands and Islands,A-E,Production sector,1691,1672,1679,1731,1852,1945,2076,2171,2268,2211,2403,2486,2452,2535,2567,2650,2789,2854,2820,3022,3041,3149,3087,3103,3068,3026
TLM2,Highlands and Islands,F (41-43),Construction,1039,1127,1070,952,929,1022,1012,1015,1002,987,977,831,911,951,926,1007,1041,1039,987,996,967,962,736,951,944,957
TLM2,Highlands and Islands,G-T,Services sector,7214,7594,7714,8002,7735,8185,8626,8918,8977,8955,9077,8933,9087,9450,9378,9569,9610,9419,9493,9967,9879,10007,8729,9424,10153,10240
