DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Greater Manchester,Construction,F (41-43),53225
2015,Greater Manchester,Wholesale and retail trade; repair of motor vehicles,G (45-47),208340
2015,Greater Manchester,Transportation and storage,H (49-53),61485
2015,Greater Manchester,Accommodation and food service activities,I (55-56),82955
2015,Greater Manchester,Information and communication,J (58-63),49550
2015,Greater Manchester,Financial and insurance activities,K (64-66),39485
2015,Greater Manchester,Real estate activities,L (68),25700
2015,Greater Manchester,"Professional, scientific and technical activities",M (69-75),109880
2015,Greater Manchester,Administrative and support service activities,N (77-82),121890
2015,Greater Manchester,Public administration and defence,O (84),53100
2015,Greater Manchester,Education,P (85),107900
2015,Greater Manchester,Human health and social work activities,Q (86-88),164500
2015,Greater Manchester,"Arts, entertainment and recreation",R (90-93),27910
2015,Greater Manchester,Other service activities,S (94-96),26265
2015,Greater Manchester,Activities of households,T (97-98),0
2015,Greater Manchester,Activities of extraterritorial organisations and bodies,U (99),0
2015,Hampshire and Isle of Wight,"Agriculture, forestry and fishing",A (1-3),10480
2015,Hampshire and Isle of Wight,Mining and quarrying,B (5-9),420
2015,Hampshire and Isle of Wight,Manufacturing,C (10-33),67940
2015,Hampshire and Isle of Wight,"Electricity, gas, steam and air conditioning supply",D (35),2880
2015,Hampshire and Isle of Wight,Water supply; sewerage and waste management,E (36-39),4825
2015,Hampshire and Isle of Wight,Construction,F (41-43),43495
2015,Hampshire and Isle of Wight,Wholesale and retail trade; repair of motor vehicles,G (45-47),143285
2015,Hampshire and Isle of Wight,Transportation and storage,H (49-53),37770
2015,Hampshire and Isle of Wight,Accommodation and food service activities,I (55-56),71535
2015,Hampshire and Isle of Wight,Information and communication,J (58-63),52275
2015,Hampshire and Isle of Wight,Financial and insurance activities,K (64-66),26135
2015,Hampshire and Isle of Wight,Real estate activities,L (68),16100
2015,Hampshire and Isle of Wight,"Professional, scientific and technical activities",M (69-75),64675
2015,Hampshire and Isle of Wight,Administrative and support service activities,N (77-82),69115
2015,Hampshire and Isle of Wight,Public administration and defence,O (84),33150
2015,Hampshire and Isle of Wight,Education,P (85),88300
2015,Hampshire and Isle of Wight,Human health and social work activities,Q (86-88),115650
2015,Hampshire and Isle of Wight,"Arts, entertainment and recreation",R (90-93),20950
2015,Hampshire and Isle of Wight,Other service activities,S (94-96),20250
2015,Hampshire and Isle of Wight,Activities of households,T (97-98),0
2015,Hampshire and Isle of Wight,Activities of extraterritorial organisations and bodies,U (99),0
2015,"Herefordshire, Worcestershire and Warwickshire","Agriculture, forestry and fishing",A (1-3),23935
2015,"Herefordshire, Worcestershire and Warwickshire",Mining and quarrying,B (5-9),225
2015,"Herefordshire, Worcestershire and Warwickshire",Manufacturing,C (10-33),77010
2015,"Herefordshire, Worcestershire and Warwickshire","Electricity, gas, steam and air conditioning supply",D (35),4040
2015,"Herefordshire, Worcestershire and Warwickshire",Water supply; sewerage and waste management,E (36-39),4110
2015,"Herefordshire, Worcestershire and Warwickshire",Construction,F (41-43),34215
2015,"Herefordshire, Worcestershire and Warwickshire",Wholesale and retail trade; repair of motor vehicles,G (45-47),104785
2015,"Herefordshire, Worcestershire and Warwickshire",Transportation and storage,H (49-53),38150
2015,"Herefordshire, Worcestershire and Warwickshire",Accommodation and food service activities,I (55-56),43825
2015,"Herefordshire, Worcestershire and Warwickshire",Information and communication,J (58-63),18175
2015,"Herefordshire, Worcestershire and Warwickshire",Financial and insurance activities,K (64-66),11600
2015,"Herefordshire, Worcestershire and Warwickshire",Real estate activities,L (68),11825
2015,"Herefordshire, Worcestershire and Warwickshire","Professional, scientific and technical activities",M (69-75),43715
2015,"Herefordshire, Worcestershire and Warwickshire",Administrative and support service activities,N (77-82),42765
2015,"Herefordshire, Worcestershire and Warwickshire",Public administration and defence,O (84),19900
2015,"Herefordshire, Worcestershire and Warwickshire",Education,P (85),47750
2015,"Herefordshire, Worcestershire and Warwickshire",Human health and social work activities,Q (86-88),68150
2015,"Herefordshire, Worcestershire and Warwickshire","Arts, entertainment and recreation",R (90-93),14760
2015,"Herefordshire, Worcestershire and Warwickshire",Other service activities,S (94-96),15040
2015,"Herefordshire, Worcestershire and Warwickshire",Activities of households,T (97-98),0
2015,"Herefordshire, Worcestershire and Warwickshire",Activities of extraterritorial organisations and bodies,U (99),0
2015,Highlands and Islands,"Agriculture, forestry and fishing",A (1-3),4165
2015,Highlands and Islands,Mining and quarrying,B (5-9),905
2015,Highlands and Islands,Manufacturing,C (10-33),16595
2015,Highlands and Islands,"Electricity, gas, steam and air conditioning supply",D (35),1015
2015,Highlands and Islands,Water supply; sewerage and waste management,E (36-39),2095
2015,Highlands and Islands,Construction,F (41-43),16340
2015,Highlands and Islands,Wholesale and retail trade; repair of motor vehicles,G (45-47),32355
2015,Highlands and Islands,Transportation and storage,H (49-53),11435
2015,Highlands and Islands,Accommodation and food service activities,I (55-56),25525
2015,Highlands and Islands,Information and communication,J (58-63),3215
2015,Highlands and Islands,Financial and insurance activities,K (64-66),1720
2015,Highlands and Islands,Real estate activities,L (68),2805
2015,Highlands and Islands,"Professional, scientific and technical activities",M (69-75),10520
2015,Highlands and Islands,Administrative and support service activities,N (77-82),9150
2015,Highlands and Islands,Public administration and defence,O (84),12725
2015,Highlands and Islands,Education,P (85),15655
2015,Highlands and Islands,Human health and social work activities,Q (86-88),38790
2015,Highlands and Islands,"Arts, entertainment and recreation",R (90-93),6910
2015,Highlands and Islands,Other service activities,S (94-96),3940
2015,Highlands and Islands,Activities of households,T (97-98),0
2015,Highlands and Islands,Activities of extraterritorial organisations and bodies,U (99),0
2015,Inner London - East,"Agriculture, forestry and fishing",A (1-3),260
2015,Inner London - East,Mining and quarrying,B (5-9),110
2015,Inner London - East,Manufacturing,C (10-33),24215
2015,Inner London - East,"Electricity, gas, steam and air conditioning supply",D (35),2670
2015,Inner London - East,Water supply; sewerage and waste management,E (36-39),4810
2015,Inner London - East,Construction,F (41-43),30155
2015,Inner London - East,Wholesale and retail trade; repair of motor vehicles,G (45-47),120570
2015,Inner London - East,Transportation and storage,H (49-53),44765
2015,Inner London - East,Accommodation and food service activities,I (55-56),88365
2015,Inner London - East,Information and communication,J (58-63),109875
2015,Inner London - East,Financial and insurance activities,K (64-66),100455
2015,Inner London - East,Real estate activities,L (68),31950
2015,Inner London - East,"Professional, scientific and technical activities",M (69-75),179575
2015,Inner London - East,Administrative and support service activities,N (77-82),154350
2015,Inner London - East,Public administration and defence,O (84),57900
2015,Inner London - East,Education,P (85),99910
2015,Inner London - East,Human health and social work activities,Q (86-88),149000
2015,Inner London - East,"Arts, entertainment and recreation",R (90-93),30930
2015,Inner London - East,Other service activities,S (94-96),29495
2015,Inner London - East,Activities of households,T (97-98),0
2015,Inner London - East,Activities of extraterritorial organisations and bodies,U (99),0
2015,Inner London - West,"Agriculture, forestry and fishing",A (1-3),205
2015,Inner London - West,Mining and quarrying,B (5-9),2200
2015,Inner London - West,Manufacturing,C (10-33),15265
2015,Inner London - West,"Electricity, gas, steam and air conditioning supply",D (35),4320
2015,Inner London - West,Water supply; sewerage and waste management,E (36-39),1150
2015,Inner London - West,Construction,F (41-43),35955
2015,Inner London - West,Wholesale and retail trade; repair of motor vehicles,G (45-47),188650
2015,Inner London - West,Transportation and storage,H (49-53),39900
2015,Inner London - West,Accommodation and food service activities,I (55-56),172830
2015,Inner London - West,Information and communication,J (58-63),181575
