DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2022,North Yorkshire,Accommodation and food service activities,I (55-56),18825
2022,North Yorkshire,Information and communication,J (58-63),7200
2022,North Yorkshire,Financial and insurance activities,K (64-66),8770
2022,North Yorkshire,Real estate activities,L (68),3350
2022,North Yorkshire,"Professional, scientific and technical activities",M (69-75),21345
2022,North Yorkshire,Administrative and support service activities,N (77-82),15725
2022,North Yorkshire,Public administration and defence,O (84),14950
2022,North Yorkshire,Education,P (85),18455
2022,North Yorkshire,Human health and social work activities,Q (86-88),27225
2022,North Yorkshire,"Arts, entertainment and recreation",R (90-93),4160
2022,North Yorkshire,Other service activities,S (94-96),3210
2022,North Yorkshire,Activities of households,T (97-98),0
2022,North Yorkshire,Activities of extraterritorial organisations and bodies,U (99),0
2022,"Northumberland, and Tyne and Wear","Agriculture, forestry and fishing",A (1-3),2070
2022,"Northumberland, and Tyne and Wear",Mining and quarrying,B (5-9),160
2022,"Northumberland, and Tyne and Wear",Manufacturing,C (10-33),53240
2022,"Northumberland, and Tyne and Wear","Electricity, gas, steam and air conditioning supply",D (35),2320
2022,"Northumberland, and Tyne and Wear",Water supply; sewerage and waste management,E (36-39),3075
2022,"Northumberland, and Tyne and Wear",Construction,F (41-43),22170
2022,"Northumberland, and Tyne and Wear",Wholesale and retail trade; repair of motor vehicles,G (45-47),41105
2022,"Northumberland, and Tyne and Wear",Transportation and storage,H (49-53),26490
2022,"Northumberland, and Tyne and Wear",Accommodation and food service activities,I (55-56),20535
2022,"Northumberland, and Tyne and Wear",Information and communication,J (58-63),20390
2022,"Northumberland, and Tyne and Wear",Financial and insurance activities,K (64-66),13485
2022,"Northumberland, and Tyne and Wear",Real estate activities,L (68),7370
2022,"Northumberland, and Tyne and Wear","Professional, scientific and technical activities",M (69-75),29625
2022,"Northumberland, and Tyne and Wear",Administrative and support service activities,N (77-82),38330
2022,"Northumberland, and Tyne and Wear",Public administration and defence,O (84),33750
2022,"Northumberland, and Tyne and Wear",Education,P (85),37940
2022,"Northumberland, and Tyne and Wear",Human health and social work activities,Q (86-88),61850
2022,"Northumberland, and Tyne and Wear","Arts, entertainment and recreation",R (90-93),6340
2022,"Northumberland, and Tyne and Wear",Other service activities,S (94-96),6640
2022,"Northumberland, and Tyne and Wear",Activities of households,T (97-98),0
2022,"Northumberland, and Tyne and Wear",Activities of extraterritorial organisations and bodies,U (99),0
2022,Outer London - East and North East,"Agriculture, forestry and fishing",A (1-3),305
2022,Outer London - East and North East,Mining and quarrying,B (5-9),210
2022,Outer London - East and North East,Manufacturing,C (10-33),19910
2022,Outer London - East and North East,"Electricity, gas, steam and air conditioning supply",D (35),495
2022,Outer London - East and North East,Water supply; sewerage and waste management,E (36-39),6490
2022,Outer London - East and North East,Construction,F (41-43),27720
2022,Outer London - East and North East,Wholesale and retail trade; repair of motor vehicles,G (45-47),52095
2022,Outer London - East and North East,Transportation and storage,H (49-53),32170
2022,Outer London - East and North East,Accommodation and food service activities,I (55-56),20850
2022,Outer London - East and North East,Information and communication,J (58-63),13430
2022,Outer London - East and North East,Financial and insurance activities,K (64-66),4370
2022,Outer London - East and North East,Real estate activities,L (68),7315
2022,Outer London - East and North East,"Professional, scientific and technical activities",M (69-75),25435
2022,Outer London - East and North East,Administrative and support service activities,N (77-82),42550
2022,Outer London - East and North East,Public administration and defence,O (84),19650
