DATE,GEOGRAPHY_NAME,SIC_SECTION_NAME,SIC_SECTION_CODE,JOBCOUNT
2015,Dorset and Somerset,Activities of extraterritorial organisations and bodies,U (99),0
2015,East Anglia,"Agriculture, forestry and fishing",A (1-3),14710
2015,East Anglia,Mining and quarrying,B (5-9),1280
2015,East Anglia,Manufacturing,C (10-33),91440
2015,East Anglia,"Electricity, gas, steam and air conditioning supply",D (35),3275
2015,East Anglia,Water supply; sewerage and waste management,E (36-39),9765
2015,East Anglia,Construction,F (41-43),49360
2015,East Anglia,Wholesale and retail trade; repair of motor vehicles,G (45-47),114715
2015,East Anglia,Transportation and storage,H (49-53),42295
2015,East Anglia,Accommodation and food service activities,I (55-56),28235
2015,East Anglia,Information and communication,J (58-63),33490
2015,East Anglia,Financial and insurance activities,K (64-66),22605
2015,East Anglia,Real estate activities,L (68),10675
2015,East Anglia,"Professional, scientific and technical activities",M (69-75),62430
2015,East Anglia,Administrative and support service activities,N (77-82),69505
2015,East Anglia,Public administration and defence,O (84),30450
2015,East Anglia,Education,P (85),54600
2015,East Anglia,Human health and social work activities,Q (86-88),79700
2015,East Anglia,"Arts, entertainment and recreation",R (90-93),10080
2015,East Anglia,Other service activities,S (94-96),14650
2015,East Anglia,Activities of households,T (97-98),0
2015,East Anglia,Activities of extraterritorial organisations and bodies,U (99),0
2015,East Wales,"Agriculture, forestry and fishing",A (1-3),2395
2015,East Wales,Mining and quarrying,B (5-9),250
2015,East Wales,Manufacturing,C (10-33),59700
2015,East Wales,"Electricity, gas, steam and air conditioning supply",D (35),5495
2015,East Wales,Water supply; sewerage and waste management,E (36-39),4110
2015,East Wales,Construction,F (41-43),16750
2015,East Wales,Wholesale and retail trade; repair of motor vehicles,G (45-47),42935
2015,East Wales,Transportation and storage,H (49-53),15090
2015,East Wales,Accommodation and food service activities,I (55-56),14160
2015,East Wales,Information and communication,J (58-63),7900
2015,East Wales,Financial and insurance activities,K (64-66),13885
2015,East Wales,Real estate activities,L (68),5055
2015,East Wales,"Professional, scientific and technical activities",M (69-75),26805
2015,East Wales,Administrative and support service activities,N (77-82),28500
2015,East Wales,Public administration and defence,O (84),24900
2015,East Wales,Education,P (85),25195
2015,East Wales,Human health and social work activities,Q (86-88),43150
2015,East Wales,"Arts, entertainment and recreation",R (90-93),5960
2015,East Wales,Other service activities,S (94-96),5025
2015,East Wales,Activities of households,T (97-98),0
2015,East Wales,Activities of extraterritorial organisations and bodies,U (99),0
2015,East Yorkshire and Northern Lincolnshire,"Agriculture, forestry and fishing",A (1-3),3095
2015,East Yorkshire and Northern Lincolnshire,Mining and quarrying,B (5-9),575
2015,East Yorkshire and Northern Lincolnshire,Manufacturing,C (10-33),57720
2015,East Yorkshire and Northern Lincolnshire,"Electricity, gas, steam and air conditioning supply",D (35),1380
2015,East Yorkshire and Northern Lincolnshire,Water supply; sewerage and waste management,E (36-39),2400
2015,East Yorkshire and Northern Lincolnshire,Construction,F (41-43),17645
2015,East Yorkshire and Northern Lincolnshire,Wholesale and retail trade; repair of motor vehicles,G (45-47),33640
2015,East Yorkshire and Northern Lincolnshire,Transportation and storage,H (49-53),18515
2015,East Yorkshire and Northern Lincolnshire,Accommodation and food service activities,I (55-56),8555
2015,East Yorkshire and Northern Lincolnshire,Information and communication,J (58-63),4120
2015,East Yorkshire and Northern Lincolnshire,Financial and insurance activities,K (64-66),3090
2015,East Yorkshire and Northern Lincolnshire,Real estate activities,L (68),2585
2015,East Yorkshire and Northern Lincolnshire,"Professional, scientific and technical activities",M (69-75),12645
2015,East Yorkshire and Northern Lincolnshire,Administrative and support service activities,N (77-82),22720
2015,East Yorkshire and Northern Lincolnshire,Public administration and defence,O (84),13150
2015,East Yorkshire and Northern Lincolnshire,Education,P (85),19110
2015,East Yorkshire and Northern Lincolnshire,Human health and social work activities,Q (86-88),28275
2015,East Yorkshire and Northern Lincolnshire,"Arts, entertainment and recreation",R (90-93),3010
2015,East Yorkshire and Northern Lincolnshire,Other service activities,S (94-96),2710
2015,East Yorkshire and Northern Lincolnshire,Activities of households,T (97-98),0
2015,East Yorkshire and Northern Lincolnshire,Activities of extraterritorial organisations and bodies,U (99),0
2015,Eastern Scotland,"Agriculture, forestry and fishing",A (1-3),1350
