DATE,Region_name,GEOGRAPHY_CODE,Value,Confidence
2022,"Herefordshire, Worcestershire and Warwickshire",UKG1,667800,29300
2022,Shropshire and Staffordshire,UKG2,801300,35600
2022,West Midlands,UKG3,1326500,46000
2022,East Anglia,UKH1,1248200,47100
2022,Bedfordshire and Hertfordshire,UKH2,958900,40900
2022,Essex,UKH3,918200,37900
2022,Inner London - West,UKI3,662000,39900
2022,Inner London - East,UKI4,1429300,69700
2022,Outer London - East and North East,UKI5,995000,47500
2022,Outer London - South,UKI6,724200,37500
2022,Outer London - West and North West,UKI7,1027400,52600
2022,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1260800,36400
2022,"Surrey, East and West Sussex",UKJ2,1457800,55200
2022,Hampshire and Isle of Wight,UKJ3,972300,35400
2022,Kent,UKJ4,916300,44500
2022,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1305100,38800
2022,Dorset and Somerset,UKK2,632000,27500
2022,Cornwall and Isles of Scilly,UKK3,268200,21900
2022,Devon,UKK4,568000,25100
2022,West Wales,UKL1,898000,21300
2022,East Wales,UKL2,558200,19800
2022,North Eastern Scotland,UKM5,252800,18200
2022,Highlands and Islands,UKM6,217800,13400
2022,Eastern Scotland,UKM7,991000,30100
2022,West Central Scotland,UKM8,745700,27700
2022,Southern Scotland,UKM9,436600,17800
2023,Tees Valley and Durham,UKC1,554600,22900
2023,Northumberland and Tyne and Wear,UKC2,667600,26800
2023,Cumbria,UKD1,246500,19300
2023,Greater Manchester,UKD3,1331200,49300
2023,Lancashire,UKD4,685500,36700
2023,Cheshire,UKD6,467400,37400
2023,Merseyside,UKD7,717400,34300
2023,East Yorkshire and Northern Lincolnshire,UKE1,437000,23000
2023,North Yorkshire,UKE2,410300,24900
2023,South Yorkshire,UKE3,660400,34200
2023,West Yorkshire,UKE4,1106500,52200
2023,Derbyshire and Nottinghamshire,UKF1,1075500,47400
2023,"Leicestershire, Rutland and Northamptonshire",UKF2,925100,43400
2023,Lincolnshire,UKF3,348900,31500
2023,"Herefordshire, Worcestershire and Warwickshire",UKG1,687800,33300
2023,Shropshire and Staffordshire,UKG2,818000,40900
2023,West Midlands,UKG3,1355500,54500
2023,East Anglia,UKH1,1240200,54200
2023,Bedfordshire and Hertfordshire,UKH2,970800,46600
2023,Essex,UKH3,910000,43600
2023,Inner London - West,UKI3,648100,46300
2023,Inner London - East,UKI4,1380000,77000
2023,Outer London - East and North East,UKI5,992800,53700
2023,Outer London - South,UKI6,705400,45300
2023,Outer London - West and North West,UKI7,1055300,73800
2023,"Berkshire, Buckinghamshire and Oxfordshire",UKJ1,1292500,42200
2023,"Surrey, East and West Sussex",UKJ2,1482900,63600
2023,Hampshire and Isle of Wight,UKJ3,1029400,41600
2023,Kent,UKJ4,905100,52200
2023,"Gloucestershire, Wiltshire and Bath/Bristol area",UKK1,1320200,44600
2023,Dorset and Somerset,UKK2,643700,30100
2023,Cornwall and Isles of Scilly,UKK3,269200,25500
2023,Devon,UKK4,574900,27600
2023,West Wales,UKL1,899600,23800
2023,East Wales,UKL2,576300,23000
2023,North Eastern Scotland,UKM5,269700,22100
2023,Highlands and Islands,UKM6,229900,15900
2023,Eastern Scotland,UKM7,1002900,34100
2023,West Central Scotland,UKM8,742200,32000
2023,Southern Scotland,UKM9,427800,21500
2012,Northern Ireland,N92000002,795200,29100
2013,Northern Ireland,N92000002,800800,29300
2014,Northern Ireland,N92000002,807900,30300
2015,Northern Ireland,N92000002,822800,31400
2016,Northern Ireland,N92000002,834600,31000
2017,Northern Ireland,N92000002,833000,30600
2018,Northern Ireland,N92000002,848000,27900
2019,Northern Ireland,N92000002,870900,24200
2020,Northern Ireland,N92000002,844800,27600
2021,Northern Ireland,N92000002,848600,25900
2022,Northern Ireland,N92000002,879400,23800
2023,Northern Ireland,N92000002,901000,25400
